N00036633::Abraham, Ralph
N00038422::Walker, Kimberly H
N00035311::Walker, Mark
N00036995::Walker, Scott
N00038855::Walkinshaw, Brady
N00033288::Wallace, Dave
N00039127::Wallace, Nancy
N00039541::Wallin, Charlie
N00039471::Walls-Windhauser, Angela
N00031226::Walorski, Jackie
N00039553::Walser, Jason
N00035391::Walters, Mimi
N00037522::Waltz, Brent
N00038651::Walz, Jim
N00027467::Walz, Timothy J
N00034158::Ward, Ella
N00037492::Ward, Kelli
N00038637::Ware, Leonard
N00027702::Warren, Andy
N00038818::Warren, DeRenda
N00039697::Warren, Harry
N00006690::Waters, Maxine
N00039687::Watson, Jane
N00037018::Watson, Lupe Ramos
N00037519::Weaver, Kim
N00039479::Weaver, Paul
N00028058::Webb, Jim
N00038575::Webb, Mike
N00033539::Weber, Randy
N00026335::Webster, Daniel
N00039323::Wegman, Gary
N00039303::Weingart, Patrick
N00000515::Welch, Peter
N00039137::Wells, Steven M
N00039236::Wells, Tom
N00027810::Welsh, Barry
N00033310::Wenstrup, Brad
N00010701::Werner, Joe
N00038588::Wescott, Mathew
N00038775::West, Ben
N00010640::West, Larry J
N00038586::West, Mark
N00035527::Westerman, Bruce
N00038813::Westley, Tim
N00026163::Westmoreland, Lynn A
N00034249::Wharton, Scott
N00036252::Wheeler, Marihelen
N00038428::White, Herman
N00036984::White, Jim
N00038401::White, Kevin Francis Lt col
N00038846::Whited, Joe
N00026532::Whitehead, Paul
N00003467::Whitfield, Ed
N00035661::Whitney, Terry
N00036925::Whitwell, Quentin
N00037594::Wicklund, Mark
N00039495::Wiggins, Christopher
N00039405::Wik, Daniel
N00037494::Wilcox, Todd
N00039056::Wilder, Sellus
N00027253::Wildes, Michael
N00012956::Wiley, Albert Jr
N00033759::Williams, Clyde
N00035418::Williams, David III
N00026864::Williams, Deborah L
N00039727::Williams, Jarrod M.
N00039374::Williams, Jay
N00039221::Williams, Lily
N00039588::Williams, M Latroy
N00039596::Williams, Martin
N00037005::Williams, Paul
N00030602::Williams, Roger
N00038446::Williams, Steve
N00039043::Williamson, Jarrell
N00038449::Willis, Colm
N00038432::Willmert, Andrew
N00038707::Wilson, Chase
N00039117::Wilson, Debbie F
N00036626::Wilson, Don
N00030650::Wilson, Frederica
N00024809::Wilson, Joe
N00039516::Wilson, Kurt
N00039273::Wilson, Robert Jr.
N00037604::Winfrey, Janice
N00038701::Winge, Kevin
N00038454::Winston, Simon
N00035630::Winteregg, J D
N00029459::Wittman, Rob
N00037232::Wolf, August
N00031857::Womack, Steve
N00039156::Wommack, Cody
N00032416::Woodall, Rob
N00039416::Woodley, Shabba
N00029781::Woods, Jarrett
N00038765::Wooley, George
N00038798::Woolridge, Ruby
N00038656::Wright, Doug
N00037286::Wright, Keith
N00039080::Wright, Kenneth
N00036301::Wright, Paul
N00039660::Writz, Raymond J
N00039128::Wunder, Jasen
N00007724::Wyden, Ron
N00007286::Wyman, Phil
N00025271::Xuna, John
N00038751::Yandik, Will
N00028073::Yarmuth, John A
N00039230::Yarrington, Garry
N00031502::Yoder, Kevin
N00034330::Yoder, Shelli
N00033220::Yoho, Ted
N00035509::Young, David
N00038584::Young, Dean
N00007999::Young, Don
N00039233::Young, Kay
N00008502::Young, Lih
N00039138::Young, Michele
N00030670::Young, Todd
N00037001::Zalcman, Mark
N00029404::Zeldin, Lee
N00035616::Zinke, Ryan K
N00037047::Zinn, Walter Jr
N00039047::Zirkelbach, Ray
N00037426::Zoeller, Gregory
N00037400::Zopp, Andrea
N00039507::Zumwalt, James
N00038606::Zuniga, Alberto
N00034296::Aalders, Tim
N00036765::Ables, Wayne
N00036389::Abraham
N00036633::Abraham, Ralph
N00027398::Acosta, Raul
N00029081::Adame, Marhshall
N00035451::Adams, Alma
N00032432::Adams, John
N00035389::Adams, Steve
N00036376::Adams, Thomas A
N00031338::Adcock, Dee
N00003028::Aderholt, Robert B
N00033997::Aguilar, Pete
N00035909::Aiken, Clay
N00036001::Aikens, William
N00033916::Alameel, David
N00035564::Alas, Art
N00036483::Alberson, Floyd Wayne
N00009888::Alexander, Lamar
N00035983::Alexander, Lewis
N00033720::Allen, Richard W
N00036679::Allison, Joy Jennifer
N00031084::Amador, Tony
N00031938::Amash, Justin
N00031177::Amodei, Mark
N00033885::Anderson, Dennis
N00036108::Anderson, Peter O
N00035343::Anderson, Quentin
N00036730::Andrews, Matthew
N00036777::Angel, Dark
N00036746::Ansley, Justin
N00035414::Appel, Staci
N00034703::Armstrong, Brandon
N00005697::Ashby, Ken
N00005293::Ashford, Brad
N00026113::Assini, Mark
N00031491::Atanus, Susanne
N00035012::Atwood, Frank
N00035058::August, Bernie
N00035733::Aulenti, James
N00034173::Ayers, Avery
N00030980::Ayotte, Kelly
N00035027::Baber, Bob Henry
N00005736::Babin, Brian
N00027493::Bachmann, Michele
N00008091::Bachus, Spencer
N00035528::Bailey, Bill
N00036336::Bakari, Kamau Akil
N00036368::Balchunis, Mary Ellen
N00035040::Baldwin, Raymond
N00004367::Baldwin, Tammy
N00036208::Ball, Gordon
N00035112::Ballard, Scott J
N00035896::Banach, Dave
N00036602::Baratelli, Joe
N00033981::Barber, Ron
N00025804::Bardel, Hank
N00035310::Barfield, Jonathan
N00025495::Barletta, Lou
N00034885::Barnhart, Scott J
N00031233::Barr, Andy
N00036815::Barr, Christina
N00006236::Barrasso, John A
N00035037::Barrilleaux, Bryan
N00036384::Barron, Bill
N00026080::Barrow, John
N00005656::Barton, Joe
N00036660::Basler, Doug
N00036469::Bass, Herbert
N00031877::Bass, Karen
N00036598::Batson, Randall
N00036706::Bauer, Lee
N00036609::Beard, Mark T
N00033904::Beatty, Joyce
N00009774::Becerra, Xavier
N00036584::Beck, Gwendolyn
N00029901::Begich, Mark
N00035623::Belgard, Aimee
N00000871::Bell, Jeff
N00014711::Bell, Philip H
N00034793::Bellone, Alan
N00035660::Bellows, Shenna
N00031934::Benishek, Dan
N00030608::Bennet, Michael F
N00033625::Bentivolio, Kerry
N00030717::Bera, Ami
N00032405::Bergmann, Charlotte
N00036780::Berman, Mike
N00031994::Best, Russell
N00035997::Betz, John
N00036018::Beyer, Don
N00027462::Bilirakis, Gus
N00036449::Bishop, Mike
N00025292::Bishop, Rob
N00002674::Bishop, Sanford
N00025413::Bishop, Timothy H
N00031539::Black, Diane
N00030082::Black, Phil
N00003105::Blackburn, Marsha
N00035971::Blair, Paul
N00036836::Blais, Dianne L
N00036834::Blais, Gerard
N00031690::Blakeman, Bruce
N00034999::Blue, Antonio
N00033744::Blum, Rod
N00007727::Blumenauer, Earl
N00031685::Blumenthal, Richard
N00005195::Blunt, Roy
N00032925::Boal, Ellis
N00035727::Bock, Joe
N00003675::Boehner, John
N00036578::Boggs, Tom
N00031805::Boler, Mark
N00033474::Bonamici, Suzanne
N00033342::Bongino, Dan
N00035577::Bonner, Jay Alan
N00035267::Booker, Cory
N00013873::Boozman, John
N00024866::Bordallo, Madeleine Z
N00036430::Bossi, Jill
N00035420::Bost, Mike
N00026595::Boustany, Charles W Jr
N00035465::Bowden, Craig
N00034622::Bowman, Joe
N00036148::Bowman, Terry
N00006692::Boxer, Barbara
N00035307::Boyle, Brendan
N00036816::Boyle, Stephen
N00034812::Bradley, Wes
N00005883::Brady, Kevin
N00001619::Brady, Robert A
N00036563::Brady, Ross
N00027464::Braley, Bruce
N00036227::Brand, Grant
N00035871::Brannigan, Sharon
N00036302::Brannon, Josh
N00036013::Brat, Dave
N00036223::Bray, Mark
N00033532::Bridenstine, James
N00035322::Brikho, George
N00035959::Brion, Scott Floyd
N00024983::Briscoe, Frank
N00033911::Bromell-Tinubu, Gloria
N00002517::Bronson, Bill
N00036784::Brooks, David
N00030910::Brooks, Mo
N00033495::Brooks, Susan
N00028986::Broun, Paul
N00036832::Brown, Bo C
N00002713::Brown, Corrine
N00035759::Brown, Don
N00036634::Brown, Harris
N00036447::Brown, James
N00005362::Brown, Raymond
N00031174::Brown, Scott
N00003535::Brown, Sherrod
N00034590::Brown, Steve
N00034254::Brownley, Julia
N00035139::Brubaker, Richard
N00031804::Bruner, Cory
N00030237::Bryan, Jim
N00035749::Buchal, James
N00027626::Buchanan, Vernon
N00030829::Buck, Kenneth R
N00036614::Buckley, John
N00031227::Bucshon, Larry
N00036739::Buhrdorf, Dan
N00035874::Bumpers, Robert
N00035901::Burgess, Jeremy
N00025219::Burgess, Michael
N00034080::Burleson, Cindy
N00002221::Burr, Richard
N00036237::Bussell, Hugh
N00033390::Bustos, Cheri
N00027035::Butterfield, G K
N00034089::Byrd, Jeff
N00035380::Byrne, Bradley
N00035436::Byrnes, Pam
N00034726::Cadien, Tawana W
N00035433::Cain, Emily
N00035362::Callis, Ann
N00007099::Calvert, Ken
N00008086::Camp, Dave
N00025982::Campbell, Douglas
N00027565::Campbell, John
N00033999::Campos, Benjamin
N00036762::Cannon, Allen
N00035515::Cannon, Jerry
N00007836::Cantwell, Maria
N00009771::Capito, Shelley Moore
N00007232::Capps, Lois
N00000267::Capuano, Michael E
N00033373::Cardenas, Tony
N00001955::Cardin, Ben
N00034135::Cargas, James
N00032688::Carlson, Steve
N00030736::Carney, John
N00012508::Carper, Tom
N00036625::Carpio, Monica
N00035827::Carr, Elan
N00036757::Carr, James
N00032554::Carr, William R
N00029513::Carson, Andre
N00036022::Carson, Jeffrey
N00035346::Carter, Buddy
N00036456::Carter, Jerry
N00025095::Carter, John
N00034128::Cartwright, Matt
N00035216::Cary, Michael
N00027503::Casey, Bob
N00035325::Casey, Nick
N00030245::Cassidy, Bill
N00036310::Casteen, J Wesley
N00027514::Castor, Kathy
N00033316::Castro, Joaquin
N00034795::Cavanagh, Daniel J
N00035842::Cavanagh, Lori Hopkins
N00027227::Cavasso, Cam
N00036402::Celis, Pedro
N00036735::Chabot, Brian
N00036102::Chabot, Paul
N00003689::Chabot, Steve
N00036537::Chaffee, Chris
N00028958::Chaffetz, Jason
N00002685::Chambliss, Saxby
N00036722::Chance, David
N00035893::Chapman, John
N00030475::Chapman, Margaret
N00034591::Charles, Richard
N00036143::Charlton, Walter
N00034134::Chauvin, Hugh
N00036824::Chester, David L
N00035387::Chew, Robin Leo
N00029692::Childers, Travis
N00035326::Cho, Roy
N00000133::Christian-Christensen, Donna
N00036176::Christofferson, Aelea
N00030600::Chu, Judy
N00032019::Cicilline, David
N00035888::Claitor, Dan
N00035278::Clark, Katherine
N00035890::Clark, Norm
N00026961::Clarke, Yvette D
N00035854::Clawson, Curt
N00012460::Clay, William L Jr
N00035917::Cleary, Brenda
N00026790::Cleaver, Emanuel
N00035238::Clements, Paul Colin
N00036199::Clements, Thomas Patrick
N00036267::Clemmons, Chris
N00035968::Cleveland, Craig
N00002408::Clyburn, James E
N00036797::Clyde, Bill
N00036152::Coakley, Vince
N00003845::Coats, Dan
N00036320::Cobb, Gary
N00028845::Cobb, Joe
N00002247::Coble, Howard
N00005601::Coburn, Tom
N00003328::Cochran, Thad
N00032957::Cody, Ken
N00024753::Coffman, Mike
N00003225::Cohen, Steve
N00035575::Cohn, Alan
N00035136::Cole, Michael
N00025726::Cole, Tom
N00036158::Coleman, Bonnie
N00001285::Collins, Chris
N00033518::Collins, Doug
N00000491::Collins, Susan M
N00035978::Colliver, Ed
N00036023::Comstock, Barbara
N00007084::Conaway, Bob
N00026041::Conaway, Mike
N00032363::Condit, Jim
N00029891::Connolly, Gerry
N00004029::Conyers, John Jr
N00035123::Cook, Don
N00036492::Cook, Paul
N00034224::Cook, Paul
N00031820::Coons, Chris
N00003132::Cooper, Jim
N00035056::Corey, Matthew
N00027441::Corker, Bob
N00024852::Cornyn, John
N00035994::Corvalan, Ruben
N00026341::Costa, Jim
N00031064::Costello, Ryan
N00033363::Cotton, Tom
N00024842::Courtney, Joe
N00035208::Cox, David
N00036090::Coyne, Thomas
N00031142::Cozad, David
N00025023::Craig, Kevin
N00027243::Craig, Rufus
N00035755::Cramer, Daniel Nelson
N00004614::Cramer, Kevin
N00006267::Crapo, Mike
N00035619::Crawford, Dennis
N00030770::Crawford, Rick
N00012739::Crenshaw, Ander 
N00036814::Crestwell, Gregory
N00036171::Crossland, Pete
N00001127::Crowley, Joseph
N00034882::Crowley, Kawika
N00033085::Cruz, Ted
N00024978::Cuellar, Henry
N00009738::Culberson, John
N00036181::Culler, Anthony
N00035133::Cummings, Daniel
N00001971::Cummings, Elijah E
N00036083::Cunningham, David
N00036517::Cunningham, Kathleen Rosewater
N00028439::Cunningham, Robb
N00035403::Curbelo, Carlos
N00036755::Curtis, Amanda
N00036549::Daggett, Doug
N00033054::Daines, Steven
N00035879::Dale, John
N00036839::Dale, Lawrence
N00032884::Danet, Vincent Emile
N00032934::Dashairya, Bhagwan
N00036635::Dasher, Zach
N00036719::Davenport, Samuel
N00004884::Davis, Danny K
N00034784::Davis, Rodney
N00009604::Davis, Susan A
N00036162::Day, Chris
N00036464::Deakin, Paul
N00036167::Dean, Tim
N00031038::Debicella, Dan
N00007781::DeFazio, Peter
N00006134::DeGette, Diana
N00033897::Delaney, John K
N00000615::DeLauro, Rosa L
N00030693::DelBene, Suzan
N00036605::Delozier, Aaron
N00035392::Demaio, Carl
N00031593::Denham, Jeff
N00036281::Denney, John
N00035881::Denney, Shawn
N00031180::Dennis, John
N00026171::Dent, Charlie
N00036330::Dentley, Yolanda
N00036285::Denton, Courtney
N00034746::DeSantis, Ron
N00030709::Desaulnier, Mark
N00030957::Desjarlais, Scott
N00031317::Deutch, Ted
N00030321::DeWitt, Rebecca
N00036766::Dezarn, Don
N00036350::Di Iorio, Nicholas S
N00035121::Diaz, Antonio
N00025337::Diaz-Balart, Mario
N00035786::Dickerson, Joyce
N00036550::Dickey, Ron
N00031295::Didier, Clint
N00035374::Dietzel, Paul
N00036860::Dilger, Michael J
N00035877::Dill, Josh
N00036149::Dingell, Debbie
N00001783::Dingell, John D
N00036027::Dingethal, Bob
N00035863::Dious, Ken
N00029460::Djou, Charles
N00036477::Doggart, Robert
N00006023::Doggett, Lloyd
N00035841::Doherty, Grant
N00031103::Dold, Bob
N00034876::Dolgos, Stephen
N00036053::Domina, Dave
N00035401::Domino, Carl
N00034946::Donka, Mark
N00026586::Donnelly, Joe
N00036574::Douthitt, Jon
N00001373::Doyle, Mike
N00033881::Drummond, William (Cleave) II
N00035102::Dryer, Norris
N00027860::Duckworth, Tammy
N00036791::Dudikoff, Sydeney
N00030967::Duffy, Sean P
N00036763::Dugas, Lee A
N00033919::Duhon, Maurice
N00035294::Duke, Greg
N00035550::Dunbar, Forrest
N00030752::Duncan, Jeff
N00003209::Duncan, John J Jr
N00036826::Duncan, Vince
N00035242::Dunec, Mark S
N00036799::Dunn, Donna
N00004981::Durbin, Dick
N00036580::Durbin, Sharon
N00034105::Eberly, Eric
N00035496::Eck, Alieta
N00035299::Eckles, Shawn
N00036014::Edmond, Micah
N00036569::Edstrom, William
N00036508::Edwards, Adrienne
N00028249::Edwards, Donna
N00036269::Edwards, Edwin
N00035313::Eggman, Michael
N00036835::Eickholt, Brad A
N00036283::Elder, Daniel
N00035243::Eldridge, Sean
N00028257::Ellison, Keith
N00031513::Ellmers, Renee
N00036831::Else, David A
N00036434::Emerson, Tom Jr
N00035440::Emmer, Tom
N00001003::Engel, Eliot L
N00035309::Enyart, Douglas
N00034884::Enyart, William
N00006249::Enzi, Mike
N00027434::Ericson, Cris
N00035483::Ernst, Joni
N00007335::Eshoo, Anna
N00036794::Esquivel, Samuel
N00033217::Esty, Elizabeth
N00034408::Evans, James S
N00034687::Everett, Earl E
N00036838::Fahrendorf, Gus
N00007632::Faleomavaega, Eni F H
N00036524::Falstad, David B
N00031672::Farenthold, Blake
N00036055::Farr, Joan Elizabeth
N00007312::Farr, Sam
N00001746::Fattah, Chaka
N00036650::Fausz, Elliott
N00007364::Feinstein, Dianne
N00035731::Felder, Cassie
N00004663::Fellows, Mike
N00035743::Fernandez, Jose Luis
N00035858::Fernandez, Luis
N00031141::Fincher, Steve
N00033443::Fischer, Deb
N00035930::Fischer, Jim
N00027229::Fitzpatrick, Michael G
N00035522::Fjeld, Laura
N00009573::Flake, Jeff
N00030815::Fleischmann, Chuck
N00029679::Fleming, John
N00031545::Flores, Bill
N00013799::Forbes, Randy
N00026631::Fortenberry, Jeff
N00029139::Foster, Bill
N00033960::Foster, James
N00035764::Foust, John
N00035973::Fowler, Gerald
N00036444::Fox, Richard
N00026166::Foxx, Virginia
N00002893::Frankel, Lois J
N00029016::Franken, Al
N00036761::Franklin, Gwendolyn
N00036482::Franklin, Robert D
N00006423::Franks, Trent
N00035223::Freeman, April
N00000684::Frelinghuysen, Rodney
N00035741::Frese, Michael
N00032953::Freudenheim, Jack
N00036802::Frey, Mike
N00036803::Fritz, Dennis L
N00035940::Fry, Robert
N00030490::Fudge, Marcia L
N00034627::Fulner, Jim
N00036570::Funiciello, Matt
N00033281::Gabbard, Tulsi
N00036247::Gagnier, Christina
N00017426::Gainer, Glen
N00033541::Gallego, Pete
N00036097::Gallego, Ruben
N00027160::Gammill, Powell
N00036583::Gandino-Saadein, Justin J
N00030856::Garamendi, John
N00029908::Garcia, Joe
N00035800::Garcia, Marilinda
N00036737::Garcia, Raul
N00030780::Gardner, Cory
N00036353::Garrett, Janet
N00000743::Garrett, Scott
N00035457::Garrison, Jennifer
N00035730::Gatton, Mark A
N00036398::Gaughan, Walter Lawrence
N00036058::Gauthier, Edmund Louis
N00036372::Geddings, Harold III
N00025025::Gerlach, Jim
N00036557::Gerrard, Roger
N00034977::Gesty, Scott
N00026251::Gianoutsos, Ted
N00031128::Gibbs, Bob
N00031998::Gibson, Chris
N00034967::Gibson, Mark
N00036064::Gillespie, Ed
N00027658::Gillibrand, Kirsten
N00024760::Gingrey, Phil
N00034065::Gluck, George
N00036806::Gnadt, Loel
N00036841::Godfrey, Sean
N00026148::Gohmert, Louis B Jr
N00036560::Goikhman, Dorit
N00036741::Goldsmith, Gardner
N00009154::Goodlatte, Bob
N00036273::Goodrich, Bob
N00036342::Goossen, David
N00035707::Gorell, Jeff
N00036612::Gorman, Jeff
N00030771::Gosar, Paul
N00036210::Gottshall, Curt
N00036488::Gouge, Casey
N00030880::Gowdy, Trey
N00013685::Graeser, Ron
N00035688::Graham, Gwen
N00009975::Graham, Lindsey
N00008799::Granger, Kay
N00035023::Grant, Clay
N00001758::Grassley, Chuck
N00036135::Graves, Garret
N00013323::Graves, Sam
N00030788::Graves, Tom
N00028418::Grayson, Alan
N00029204::Grayson, Richard
N00026686::Green, Al
N00005870::Green, Gene
N00031203::Greenberg, Mark
N00009743::Greene, Mark
N00036628::Griffin, Calvin
N00031297::Griffin, Tim
N00032029::Griffith, Morgan
N00025284::Grijalva, Raul M
N00035486::Grimes, Alison
N00031401::Grimm, Michael
N00029400::Grisham, Michelle Lujan
N00036409::Grothman, Glenn S
N00036664::Gruett, Ron
N00036751::Guerriero, Jeff
N00036655::Guillot, BJ
N00030801::Guinta, Frank
N00036850::Gurney, Barry
N00029675::Guthrie, Brett
N00004874::Gutierrez, Luis V
N00036146::Haddox, Steven
N00029617::Hagan, Kay R
N00031390::Hagedorn, Jim
N00006806::Hahn, Janice
N00035197::Hall, Heidi
N00025740::Hall, Jim
N00005645::Hall, Ralph
N00035395::Halter, Irving Jr
N00036228::Hamilton, Ken
N00035986::Hamilton, Shawn Michael
N00036651::Hammer, Will
N00036842::Hammons, Bill
N00036642::Hampton, Terry
N00025881::Hanabusa, Colleen
N00030197::Hanna, Richard
N00025713::Hansen, Janine
N00036198::Hansen, Sharon
N00036539::Hardwick, Alan
N00036070::Hardy, Charles E
N00035628::Hardy, Cresent
N00004207::Harkin, Tom
N00032364::Harlow, David
N00036818::Harmati, Louis
N00029632::Harper, Gregg
N00029147::Harris, Andy
N00036613::Harris, Mark L
N00036586::Harrold, Marc
N00035631::Hart, Bob
N00031005::Hartzler, Vicky
N00013771::Hartzok, Alanna K
N00036811::Hass, Erwin
N00002884::Hastings, Alcee L
N00009157::Hastings, Doc
N00009869::Hatch, Orrin G
N00018217::Hatchett, Charles
N00025670::Haugh, Sean
N00036805::Hawes, Leigh M
N00035985::Haynes, Nick
N00005459::Hays, Patrick Henry
N00031124::Hayworth, Nan
N00034132::Headrick, Mary Margaret
N00031557::Heck, Dennis
N00031244::Heck, Joe
N00034717::Hedge, Bill
N00028451::Hedrick, Steven
N00029835::Heinrich, Martin
N00033782::Heitkamp, Heidi
N00034324::Heitzman, Susan Hall
N00027522::Heller, Dean
N00024922::Hensarling, Jeb
N00031931::Herr, Brian
N00031559::Herrera Beutler, Jaime
N00032243::Hice, Jody B
N00027060::Higgins, Brian M
N00036833::Hildebrandt, Elaine B
N00035030::Hildebrandt, Ken
N00035792::Hill, French
N00032983::Hill, Sid
N00036312::Hill, Tom
N00011129::Hill, Wayne L
N00029070::Himes, Jim
N00006008::Hinojosa, Ruben
N00036494::Hinton, James
N00035312::Hinz, Janet
N00028139::Hirono, Mazie K
N00031688::Hoeven, John
N00034293::Holcomb, David Christopher
N00036798::Holder, Bryan Jack
N00033399::Holding, George
N00036048::Hollis, Paul
N00005437::Holloway, Clyde C
N00036538::Holmes, Jeff
N00000860::Holt, Rush
N00012611::Honda, Mike
N00025924::Horning, Andy
N00033638::Horsford, Steven
N00036178::Houghton, Tom
N00036486::Howie, Gordon
N00001821::Hoyer, Steny H
N00035897::Hoyt, Nancy
N00036783::Hudok, Paul
N00033630::Hudson, Richard
N00027649::Huelskamp, Tim
N00033030::Huffman, Jared
N00035920::Hughes, Bill Jr
N00030673::Huizenga, Bill
N00031104::Hultgren, Randy
N00029258::Hunter, Duncan D
N00031417::Hurd, Will
N00031265::Hurt, Robert
N00036431::Hutto, Brad
N00005963::Idrogo, Michael
N00035756::Ince, Cecil Anthony
N00005582::Inhofe, James M
N00036288::Irvin, Nate
N00002593::Isakson, Johnny
N00013345::Israel, Steve
N00007017::Issa, Darrell
N00031603::Izzo, Rose
N00005818::Jackson Lee, Sheila
N00036559::Jackson, Eli "Sarge"
N00036366::James, Armond
N00036435::James, Joshua
N00036786::Jamias, Mapu S
N00035573::Janay, Laura
N00033640::Jeffries, Hakeem
N00035531::Jenkins, Evan
N00035804::Jenkins, Jim
N00029077::Jenkins, Lynn
N00035613::Jennings, Vincent
N00035425::Jensen, Elisabeth
N00029444::Johanns, Mike
N00032088::Johnson, Bill
N00036468::Johnson, Connie
N00036576::Johnson, Dennis B
N00008122::Johnson, Eddie Bernice
N00027848::Johnson, Hank
N00036709::Johnson, Heather
N00035128::Johnson, James L Jr
N00036081::Johnson, Johnny
N00035725::Johnson, Karen M
N00032546::Johnson, Ron
N00008028::Johnson, Sam
N00036859::Johnson, Sam
N00010084::Johnson, Tim
N00034817::Joiner, Gregory
N00035717::Jolly, David
N00036031::Jones, Davy
N00036810::Jones, Harold H
N00036457::Jones, Jeff
N00036785::Jones, Paul
N00035974::Jones, Russ
N00002299::Jones, Walter B Jr
N00027894::Jordan, Jim
N00035007::Joyce, David P
N00033182::Kabat, Ronald P
N00035586::Kaifesh, Lawrence Joseph
N00033177::Kaine, Tim
N00003522::Kaptur, Marcy
N00035934::Katko, John
N00033516::Kaufman, Joe
N00031933::Keating, Bill
N00036659::Keller, Craig
N00031647::Kelly, Mike
N00035215::Kelly, Robin
N00035976::Kelsey, Bill
N00034044::Kennedy, Joe III
N00036864::Kent, Gaylon
N00036629::Kent, Joe
N00026427::Khanna, Ro
N00033395::Kildee, Dan
N00034453::Kilmer, Derek
N00035205::Kimber, James
N00036341::Kimmick, Randy
N00004403::Kind, Ron
N00034580::King, Angus
N00025630::King, Karl
N00001193::King, Pete
N00036509::King, R Adam
N00025237::King, Steven A
N00002656::Kingston, Jack
N00030667::Kinzinger, Adam
N00012539::Kirk, Mark
N00029260::Kirkpatrick, Ann
N00036357::Klepinger, Robert
N00004436::Kline, John
N00027500::Klobuchar, Amy
N00035820::Knight, Steve
N00036002::Koch, Max
N00025996::Kocher, Victor
N00035454::Kohn, Erin Bilbray
N00036677::Kohring, Vic
N00036680::Kokoski, Michael
N00036711::Kolber, Vincent A
N00035715::Koller, David
N00035995::Kolls, Mike
N00032568::Koniz, Gary
N00033548::Kopsick, Joe
N00035922::Kovach, Janice
N00036624::Krepp, Tim
N00036266::Krom, John
N00002798::Krulick, Al
N00034319::Kuhnle, Justin
N00035884::Kultala, Kelly
N00033822::Kundrata, Fred
N00036408::Kurtz, Tony
N00030875::Kuster, Ann Mclane
N00031377::Labrador, Raul
N00030308::Ladner, Lenny
N00036418::Lafrance, Nathan
N00005310::Laird, Steven C
N00001191::Lally, Grant
N00033987::LaMalfa, Doug
N00035942::Lambert, Dennis G
N00028133::Lamborn, Douglas L
N00000898::Lance, Leonard
N00035488::Land, Terri Lynn
N00005395::Landrieu, Mary L
N00036823::Langan, Jeffrey
N00035977::Lange, Ryan
N00009724::Langevin, Jim
N00031129::Lankford, James
N00035993::Lapham, Rob
N00035626::Lara, Rocky
N00009759::Larsen, Rick
N00000575::Larson, John B
N00004227::Latham, Tom
N00012233::Latta, Robert E
N00035956::Lavallee, Dan
N00035093::Lavergne, Frederick
N00027607::Lawhorn, Zane Rene
N00034068::Lawrence, Brenda
N00035852::Lawrence, Henry
N00036857::Lawrence, John
N00036348::Lawrence, Nate
N00036114::Lawson, Howard
N00035334::Leach, Ron
N00036243::Leader, William
N00009918::Leahy, Patrick
N00035833::Leavens, Drew
N00008046::Lee, Barbara
N00035847::Lee, Luther
N00031696::Lee, Mike
N00035383::Leflore, Burton
N00036732::Leiber, Arthur
N00035837::Leing, George
N00029779::Leone, Ross
N00036750::Lester, Mark
N00035967::Letsos, Niko
N00036768::Letton, Don
N00036852::Leuenberger, Jim
N00001691::Levin, Carl
N00003950::Levin, Sander
N00002577::Lewis, John
N00035682::Lewis, John
N00003796::Leyva, Mark J
N00032290::Lieber, Arthur Henry
N00035295::Lieberman, Richard
N00035825::Lieu, Ted
N00027239::Lipinski, Daniel
N00036119::Livingston, Gregory Seal
N00036796::Loban, Jess
N00000851::LoBiondo, Frank A
N00027741::Loebsack, David
N00035990::Loewe, Mark
N00007479::Lofgren, Zoe
N00035556::Logue, Dan
N00030676::Long, Billy
N00036536::Long, Charles A
N00035018::Lord, Randall
N00035347::Loudermilk, Barry
N00033842::Love, Mia
N00033274::Lowenthal, Alan
N00035891::Lowenthal, Jason Philip
N00001024::Lowey, Nita M
N00005559::Lucas, Frank D
N00030026::Luetkemeyer, Blaine
N00033004::Lugo, Christina
N00029562::Lujan, Ben R
N00029788::Lummis, Cynthia Marie
N00036582::Lynch, Cormick
N00013855::Lynch, Stephen F
N00036155::MacArthur, Thomas
N00035588::Macfarlane, Michael
N00035635::Maciel, Jonathan
N00030558::Macko, David
N00035914::MacQueen, Tate
N00027891::Maffei, Dan
N00020079::Magee, Doug
N00036767::Maggard, Mike
N00001157::Maher, Pat
N00000078::Maloney, Carolyn B
N00034277::Maloney, Sean Patrick
N00032838::Manchin, Joe
N00035487::Maness, Rob
N00026710::Marchant, Kenny
N00035463::Marchbanks, Neal
N00036200::Marineau, Paul
N00031777::Marino, Tom
N00000270::Markey, Ed
N00032264::Marksberry, Ed
N00035817::Marrero-Aguilera, Suzanna
N00035873::Mason, Michael
N00034041::Massie, Thomas
N00035053::Mata'Utia, Tu'au Kereti Jr
N00036391::Mates, Ben J
N00009753::Matheson, Jim
N00035132::Matkin, Richard A
N00027459::Matsui, Doris O
N00036712::Maxwell, Chip
N00036356::May, Richard
N00036801::Mayo, Chris
N00036637::Mayock, Frederick
N00036174::McAffrey, Al
N00034442::McAleer, Donna
N00035593::McAllister, Vance
N00006424::McCain, John
N00001148::McCarthy, Carolyn
N00028152::McCarthy, Kevin
N00027694::McCaskill, Claire
N00026460::McCaul, Michael
N00034468::McCausland, Shaun
